task_id,question,choices,answer
k10168,"Question: What will be output of the following code?
#include<stdio.h>
int main()
{
    printf(""%d\t"",sizeof(6.5));
    printf(""%d\t"",sizeof(90000));
    printf(""%d"",sizeof('A'));
    return 0;
}
['8 4 2', '8 4 2', '8 4 4', '8 4 3']

Answer: ","['8 4 2', '8 4 2', '8 4 4', '8 4 3']",C
k10173,"Question: What will be output of the following c code?
#include<stdio.h>
const enum Alpha
{
      X,
      Y=5,
      Z
}p=10;
int main()
{
    enum Alpha a,b;
    a= X;
    b= Z;
    printf(""%d"",a+b-p); 
    return 0; 
}
['-4', '-5', '10', '11']

Answer: ","['-4', '-5', '10', '11']",A
k10174,"Question: Match the following.
      Group 1                       Group 2
P. Regular expression        1. Syntax analysis
Q. Pushdown automata         2. Code generation
R. Dataflow analysis         3. Lexical analysis
S. Register allocation       4. Code optimization
['P-4. Q-1, R-2, S-3', 'P-3, Q-1, R-4, S-2', 'P-3, Q-4, R-1, S-2', 'P-2, Q-1, R-4, S-3']

Answer: ","['P-4. Q-1, R-2, S-3', 'P-3, Q-1, R-4, S-2', 'P-3, Q-4, R-1, S-2', 'P-2, Q-1, R-4, S-3']",B
k10175,"Question: Match the following.
P. Regular expression        1. Syntax analysis
Q. Pushdown automata         2. Code generation
R. Dataflow analysis         3. Lexical analysis
S. Register allocation       4. Code optimization
['P-4. Q-1, R-2, S-3', 'P-3, Q-1, R-4, S-2', 'P-3, Q-4, R-1, S-2', 'P-2, Q-1, R-4, S-3']

Answer: ","['P-4. Q-1, R-2, S-3', 'P-3, Q-1, R-4, S-2', 'P-3, Q-4, R-1, S-2', 'P-2, Q-1, R-4, S-3']",B
k10176,"Question: Which grammar rules violate the requirements of an operator grammar?
1.  P → Q R                    
2.  P → Q s R
3.  P → ε       
4.  P → Q t R r
['1 only', '1 and 3 only', '2 and 3 only', '3 and 4 only']

Answer: ","['1 only', '1 and 3 only', '2 and 3 only', '3 and 4 only']",B
k10177,"Question: Match the following.
      List-I                  List-II
A. Lexical analysis       1. Graph coloring
B. Parsing                2. DFA minimization
C. Register allocation    3. Post-order traversal
D. Expression evaluation  4. Production tree
['A – 2, B – 3, C – 1, D – 4', 'A – 2, B – 1, C – 4, D – 3', 'A – 2, B – 4, C – 1, D – 3', 'A – 2, B – 3, C – 4, D – 1']

Answer: ","['A – 2, B – 3, C – 1, D – 4', 'A – 2, B – 1, C – 4, D – 3', 'A – 2, B – 4, C – 1, D – 3', 'A – 2, B – 3, C – 4, D – 1']",C
k10186,"Question: How many derivation trees are there?
S->bA       S->aB
A->a          B->b
A->aS           B->bS
A->bAA          B->aBB
['1', '2', '3', '4']

Answer: ","['1', '2', '3', '4']",C
k10187,"Question: Given the language L-{ab, aa, baa}, which of the following strings are in LG?
1) abaabaaabaa
2) aaaabaaaa 
3) baaaaabaaaab 
4) baaaaabaa
['1,2 and 3', '2,3 and 4', '1,2 and 4', '1,3 and 4']

Answer: ","['1,2 and 3', '2,3 and 4', '1,2 and 4', '1,3 and 4']",C
k10188,"Question: This set of Compilers Multiple Choice Questions & Answers (MCQs) focuses on “Implementation of Increment and Decrement – 1”.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     1. What value does the variable b have after ALL of the code executes?
int a;
int b;
a=1;
b=a++;
['1', '2', '3', 'unknown/undefined']

Answer: ","['1', '2', '3', 'unknown/undefined']",A
k10190,"Question: What value does the variable z have after ALL of the code above executes?
int x;
int y;
int z;
x=3;
y=4;
z = ++x * y++;
['9', '12', '16', '20']

Answer: ","['9', '12', '16', '20']",C
